,label,image,description,llm_idx,llm_label
98,bird,datasets/CIFAR/test/bird/0977.png, It is a blurry picture of a bird. (C),{'(C)': 35},bird
99,horse,datasets/CIFAR/test/horse/0083.png, There is a brown horse standing on the grass field. There are some trees in the background. The main object in the image is (H) horse.,{'(H)': 125},horse
100,frog,datasets/CIFAR/test/frog/0336.png, A frog is sitting on a white surface. (G),{'(G)': 39},frog
101,dog,datasets/CIFAR/test/dog/0355.png, (H),{'(H)': 1},horse
102,truck,datasets/CIFAR/test/truck/0593.png, The image is blurred. But the main object in the image is a truck. So the answer is (J).,{'(J)': 85},truck
103,bird,datasets/CIFAR/test/bird/0290.png," This is a photo of a horse. The main object in the image is a horse, which is labeled (H).",{'(H)': 87},horse
104,dog,datasets/CIFAR/test/dog/0429.png, There is a white cat sitting on a wooden table with a pink flower nearby. (D),{'(D)': 75},cat
105,automobile,datasets/CIFAR/test/automobile/0651.png, A blue truck is isolated on a white background. (J),{'(J)': 49},truck
106,ship,datasets/CIFAR/test/ship/0168.png, A large cargo ship is docked at a pier. (I),{'(I)': 41},ship
107,automobile,datasets/CIFAR/test/automobile/0234.png," The image shows a police car with its lights on. The main object in the image is a police car, which is a type of automobile. So the answer is '(B)'.",{'(B)': 145},automobile
108,bird,datasets/CIFAR/test/bird/0190.png, A wine glass on the grass. (I),{'(I)': 28},ship
109,bird,datasets/CIFAR/test/bird/0827.png, There is a black truck on a dirt road. There is a fence next to the road. The truck is surrounded by bushes and trees. (J),{'(J)': 120},truck
110,horse,datasets/CIFAR/test/horse/0357.png," The image is blurred, but it seems to be a photo of a brown horse standing in a green field. The main object in the image is a horse, so the answer is '(H)'.",{'(H)': 153},horse
111,ship,datasets/CIFAR/test/ship/0640.png, The image shows the lower part of a toy boat. The main object in the image is a boat. So the answer is (I).,{'(I)': 104},ship
112,truck,datasets/CIFAR/test/truck/0379.png," This is a photo of a truck. The main object in the image is a truck, which is in category (J).",{'(J)': 91},truck
113,frog,datasets/CIFAR/test/frog/0235.png, This is a picture of a frog sitting on a branch. The main object in the image is (G) frog.,{'(G)': 82},frog
114,frog,datasets/CIFAR/test/frog/0260.png," There is a blurred image of an animal, which looks like a frog. (G)",{'(G)': 65},frog
115,truck,datasets/CIFAR/test/truck/0088.png," There is a blurred image of a toy car on a wooden table. The main object in the image is a toy car, which is among the category (B) automobile.",{'(B)': 129},automobile
116,deer,datasets/CIFAR/test/deer/0829.png, This is a photo of a reindeer walking in the snow. (H),{'(H)': 52},horse
117,bird,datasets/CIFAR/test/bird/0289.png, (C) A bird is perched on a branch.,{'(C)': 1},bird
118,bird,datasets/CIFAR/test/bird/0445.png, The image shows a blurred picture of a flower. The main object in the image is a flower. Answer: None of the above.,{},
119,ship,datasets/CIFAR/test/ship/0363.png," The image shows a speed boat on the water. The main object in the image is a boat, which is category (I).",{'(I)': 102},ship
120,deer,datasets/CIFAR/test/deer/0240.png," The image is blurred, but it looks like a brown horse standing in a green field. (H)",{'(H)': 82},horse
121,dog,datasets/CIFAR/test/dog/0287.png, This is a photo of a white rabbit sitting on a brown surface. The rabbit is looking at the camera. (D),{'(D)': 100},cat
122,frog,datasets/CIFAR/test/frog/0733.png," The image shows a frog sitting on a leaf. The main object in the image is a frog.
(G)",{'(G)': 83},frog
123,airplane,datasets/CIFAR/test/airplane/0824.png," There is a blurred image of an airplane in the sky. The main object in the image is an airplane.
(A)",{'(A)': 98},airplane
124,truck,datasets/CIFAR/test/truck/0112.png, There is a gray cat lying on the concrete ground. The cat is facing the camera. There are some plants and trees in the background. (D),{'(D)': 132},cat
125,airplane,datasets/CIFAR/test/airplane/0343.png," The image is of an airplane.
(A)",{'(A)': 30},airplane
126,dog,datasets/CIFAR/test/dog/0523.png," This is a picture of a dog lying on the grass. The main object in the image is a dog, so the answer is (F).",{'(F)': 104},dog
127,deer,datasets/CIFAR/test/deer/0687.png, There is a deer standing in a green field. The main object in the image is (E) deer.,{'(E)': 76},deer
128,cat,datasets/CIFAR/test/cat/0349.png, There is a cat in the image. (D),{'(D)': 30},cat
129,horse,datasets/CIFAR/test/horse/0653.png," A horse is standing on a green field. There is a tree in the background. The main object in the image is a horse, which is labeled as (H).",{'(H)': 135},horse
130,cat,datasets/CIFAR/test/cat/0874.png, There is a brown dog with a white belly and white paws sitting on a blue carpet. (F),{'(F)': 82},dog
131,automobile,datasets/CIFAR/test/automobile/0604.png," The image is a blurred photo of a silver car. The car is facing the camera. The main object in the image is a car, which is labeled as (B).",{'(B)': 136},automobile
132,bird,datasets/CIFAR/test/bird/0298.png, (C) A bird is perched on a branch.,{'(C)': 1},bird
133,automobile,datasets/CIFAR/test/automobile/0602.png, (B),{'(B)': 1},automobile
134,cat,datasets/CIFAR/test/cat/0620.png, There is a blurry brown cat lying on a white surface. (D),{'(D)': 55},cat
135,horse,datasets/CIFAR/test/horse/0682.png, A white horse is standing on the grass field. (H),{'(H)': 47},horse
136,truck,datasets/CIFAR/test/truck/0131.png, There is a truck in the lower part of the image. The main object in the image is a truck. Answer: (J),{'(J)': 99},truck
137,bird,datasets/CIFAR/test/bird/0496.png, (C) The main object in the image is a bird.,{'(C)': 1},bird
138,bird,datasets/CIFAR/test/bird/0946.png, (C) It is a bird.,{'(C)': 1},bird
139,ship,datasets/CIFAR/test/ship/0089.png, This is a photo of an airplane. The main object in the image is an airplane. (A),{'(A)': 78},airplane
140,dog,datasets/CIFAR/test/dog/0849.png," There is a small black dog with a white belly and white paws. The dog is standing on the ground. There are some green leaves and branches on the ground. The background is blurry. The main object in the image is a dog, so the answer is (F).",{'(F)': 236},dog
141,horse,datasets/CIFAR/test/horse/0616.png, A horse is standing in a pen. (H),{'(H)': 31},horse
142,dog,datasets/CIFAR/test/dog/0320.png," The image is very blurry. It is hard to tell what is in the image. There is no object in the image among the categories. (A), (B), (C), (D), (E), (F), (G), (H), (I), (J)","{'(A)': 122, '(B)': 127, '(C)': 132, '(D)': 137, '(E)': 142, '(F)': 147, '(G)': 152, '(H)': 157, '(I)': 162, '(J)': 167}",cat
143,dog,datasets/CIFAR/test/dog/0458.png," It is a picture of a white cat lying on the grass and looking at the camera. The main object in the image is a cat, so the answer is (D).",{'(D)': 134},cat
144,cat,datasets/CIFAR/test/cat/0953.png," There is a toy truck on the grass.
(J)",{'(J)': 36},truck
145,airplane,datasets/CIFAR/test/airplane/0491.png, There is a blurred image of an airplane. (A),{'(A)': 42},airplane
146,frog,datasets/CIFAR/test/frog/0512.png, A green frog is sitting on a green leaf. (G),{'(G)': 42},frog
147,cat,datasets/CIFAR/test/cat/0784.png," This is a picture of a dog lying on the ground. The main object in the image is a dog, so the answer is (F).",{'(F)': 105},dog
148,dog,datasets/CIFAR/test/dog/0773.png, The image is blurry. It is hard to distinguish the objects in the image. There is a brown spot in the center of the image. It looks like a piece of chocolate. So the main object in the image is '(D)'.,{'(D)': 196},cat
149,automobile,datasets/CIFAR/test/automobile/0867.png," There is a blue car parked on a paved road next to a body of water. There are hills with trees in the background. The main object in the image is a car, so the answer is (B).",{'(B)': 171},automobile
150,truck,datasets/CIFAR/test/truck/0255.png, There is a truck in the driveway of a house. The truck is white and has a black bumper. There are trees and bushes in the background. (J),{'(J)': 135},truck
151,truck,datasets/CIFAR/test/truck/0556.png, There is a blurred image of an automobile. (B),{'(B)': 44},automobile
152,horse,datasets/CIFAR/test/horse/0242.png," The image is a photo of a brown horse standing on a dirt ground and looking at the camera. The main object in the image is a horse, so the answer is '(H)'.",{'(H)': 151},horse
153,dog,datasets/CIFAR/test/dog/0502.png, There is a horse in the middle of the image. The background is blurred. (H),{'(H)': 73},horse
154,deer,datasets/CIFAR/test/deer/0738.png, (E) There is a deer standing in a lush green field.,{'(E)': 1},deer
155,airplane,datasets/CIFAR/test/airplane/0734.png, This is a blurred image of a World War II German fighter plane. The main object in the image is an airplane (A).,{'(A)': 109},airplane
156,truck,datasets/CIFAR/test/truck/0035.png, This is a blurred image of a truck. (J),{'(J)': 37},truck
157,cat,datasets/CIFAR/test/cat/0206.png, There is a cat sitting on a table. The main object in the image is (D) cat.,{'(D)': 68},cat
158,dog,datasets/CIFAR/test/dog/0451.png," This is a photo of two dogs playing in the grass. The main objects in the image are dogs, which can be classified into category (F).",{'(F)': 129},dog
159,frog,datasets/CIFAR/test/frog/0246.png, There is a blurred image of an animal. It is a (D) cat.,{'(D)': 48},cat
160,airplane,datasets/CIFAR/test/airplane/0493.png," The image is blurred, but it looks like a plane. (A)",{'(A)': 50},airplane
161,deer,datasets/CIFAR/test/deer/0488.png, There is a black cat sitting on a pile of rocks in front of a stone wall. (D),{'(D)': 75},cat
162,cat,datasets/CIFAR/test/cat/0285.png," This is a blurry image of two cats. The main objects in the image are cats, which belong to category (D).",{'(D)': 102},cat
163,bird,datasets/CIFAR/test/bird/0624.png," A small bird is perching on a branch. The bird has blue, green, and yellow feathers. The background is blurry, but it looks like there are green leaves in the background. (C)",{'(C)': 172},bird
164,dog,datasets/CIFAR/test/dog/0472.png, There is a blurred image of an animal. It looks like a (D) cat.,{'(D)': 56},cat
165,bird,datasets/CIFAR/test/bird/0663.png, This is a close-up image of an ostrich. The main object in the image is a bird. (C),{'(C)': 81},bird
166,frog,datasets/CIFAR/test/frog/0990.png," There is a person in a green shirt and jeans kneeling on the ground. The person is holding a brown stick in their hands. The background is blurred, but it looks like there are trees in the background. The main object in the image is a person. '(F)'",{'(F)': 245},dog
167,automobile,datasets/CIFAR/test/automobile/0693.png," This is a picture of the back of a red car. The car is parked on a driveway with blurred trees and another car in the background. The main object in the image is a car, so the answer is '(B)'.",{'(B)': 188},automobile
168,cat,datasets/CIFAR/test/cat/0919.png, This is a black cat looking at the camera. (D),{'(D)': 44},cat
169,dog,datasets/CIFAR/test/dog/0367.png," There is grass on the ground. There is a brown dog with a black nose and black eyes. There is a wall in the background. The main object in the image is a dog, so the answer is (F).",{'(F)': 177},dog
170,truck,datasets/CIFAR/test/truck/0571.png, A bus is on the road. There are cars on the road. There are buildings on the side of the road. There are trees on the side of the road. The main object in the image is a bus. Answer: (J),{'(J)': 184},truck
171,ship,datasets/CIFAR/test/ship/0977.png," This is a photo of the back of a white semi truck. The truck is on a paved road, and there are trees and bushes on either side of the road. The truck is the main object in the image.

(J)",{'(J)': 185},truck
172,truck,datasets/CIFAR/test/truck/0258.png," The image shows a white truck on the road with the blue sky in the background. The main object in the image is a truck, which is labeled as (J).",{'(J)': 141},truck
173,automobile,datasets/CIFAR/test/automobile/0463.png," This is a picture of a red car. The main object in the image is a car, which is in category (B).",{'(B)': 93},automobile
174,frog,datasets/CIFAR/test/frog/0186.png, It's a green frog sitting on a branch. (G),{'(G)': 40},frog
175,ship,datasets/CIFAR/test/ship/0280.png, The image is very blurry. It is hard to tell what is in the image. It might be a ship. The main object in the image is a ship. Answer: (I),{'(I)': 136},ship
176,deer,datasets/CIFAR/test/deer/0636.png," The image shows a bird sitting on a branch of a tree. The main object in the image is a bird.
(C)",{'(C)': 95},bird
177,cat,datasets/CIFAR/test/cat/0207.png, There is a brown cat lying on the wooden floor. (D),{'(D)': 49},cat
178,horse,datasets/CIFAR/test/horse/0133.png, There is a horse standing on the grass field. The main object in the image is (H) horse.,{'(H)': 79},horse
179,automobile,datasets/CIFAR/test/automobile/0603.png," The image shows a blurred car on an asphalt road. There are trees on both sides of the road. The main object in the image is a car, which is labeled as (B).",{'(B)': 153},automobile
180,airplane,datasets/CIFAR/test/airplane/0050.png," This is an image of a toy airplane. The airplane is red, yellow, and blue. It is sitting on the grass. There is a tree in the background. The main object in the image is an airplane, so the answer is (A).",{'(A)': 201},airplane
181,bird,datasets/CIFAR/test/bird/0062.png, A duck is swimming in a lake. (C),{'(C)': 31},bird
182,airplane,datasets/CIFAR/test/airplane/0026.png," This is a black and white image of a horse. There is a fence in the background. The main object in the image is a horse, so the answer is (H).",{'(H)': 139},horse
183,frog,datasets/CIFAR/test/frog/0382.png, This is a blurry picture of grass. There is nothing but grass in the image. (G),{'(G)': 77},frog
184,truck,datasets/CIFAR/test/truck/0223.png, The main object in the image is a truck. (J),{'(J)': 42},truck
185,airplane,datasets/CIFAR/test/airplane/0295.png, (A),{'(A)': 1},airplane
186,cat,datasets/CIFAR/test/cat/0058.png," This is a picture of a cat sitting on a table. The cat is looking at the camera. There is a paper on the table. The main object in the image is a cat, so the answer is (D).",{'(D)': 169},cat
187,dog,datasets/CIFAR/test/dog/0825.png, This is a picture of a dog standing on a white background. There is a collar around its neck. (F),{'(F)': 95},dog
188,airplane,datasets/CIFAR/test/airplane/0287.png," There is an airplane in the image. The main object in the image is an airplane.
(A)",{'(A)': 81},airplane
189,automobile,datasets/CIFAR/test/automobile/0720.png," There is a red car in the image. The main object in the image is a car, so the answer is (B).",{'(B)': 90},automobile
190,cat,datasets/CIFAR/test/cat/0315.png, There is a cat in the image. (D),{'(D)': 30},cat
191,horse,datasets/CIFAR/test/horse/0007.png, There is a brown horse standing in a green field and eating grass. (H),{'(H)': 68},horse
192,horse,datasets/CIFAR/test/horse/0399.png, There is a white horse running on the grass field. (H),{'(H)': 52},horse
193,airplane,datasets/CIFAR/test/airplane/0276.png," There is a blurred image of an airplane. The main object in the image is an airplane.
(A)",{'(A)': 87},airplane
194,ship,datasets/CIFAR/test/ship/0155.png, The image is very blurry. It is hard to tell what is in the image. It looks like there might be a ship in the middle of the image. The main object in the image is a ship. Answer: (I),{'(I)': 180},ship
195,horse,datasets/CIFAR/test/horse/0271.png," The image shows a brown horse standing on a green field. The main object in the image is a horse, which is labeled as (H).",{'(H)': 119},horse
196,dog,datasets/CIFAR/test/dog/0968.png, There is a blurry photo of a dog lying on the floor. (F),{'(F)': 54},dog
197,frog,datasets/CIFAR/test/frog/0674.png, A close-up image of a green frog on a brown branch. (G),{'(G)': 53},frog
198,cat,datasets/CIFAR/test/cat/0858.png," This is a picture of a cat. There is no airplane, automobile, bird, deer, dog, frog, horse, ship, or truck in the image. So the answer is (D).",{'(D)': 139},cat
199,automobile,datasets/CIFAR/test/automobile/0541.png, A red car is on a white turntable. (B),{'(B)': 36},automobile
200,deer,datasets/CIFAR/test/deer/0661.png, There is a photo of a horse. (H),{'(H)': 30},horse
201,airplane,datasets/CIFAR/test/airplane/0826.png, (A),{'(A)': 1},airplane
202,frog,datasets/CIFAR/test/frog/0977.png, This is a picture of a white bird. (C),{'(C)': 36},bird
203,cat,datasets/CIFAR/test/cat/0636.png, (D) A cat is sitting on a table.,{'(D)': 1},cat
204,truck,datasets/CIFAR/test/truck/0439.png," The image shows a blue truck. There is a road in front of the truck. There is a building on the left side of the truck. The main object in the image is a truck, so the answer is (J).",{'(J)': 179},truck
205,horse,datasets/CIFAR/test/horse/0626.png, This is a photo of a horse. The main object in the image is (H) horse.,{'(H)': 61},horse
206,bird,datasets/CIFAR/test/bird/0747.png, (C) A bird is standing on a branch.,{'(C)': 1},bird
207,dog,datasets/CIFAR/test/dog/0871.png," (F)
The image shows a white rat looking at something.",{'(F)': 1},dog
208,dog,datasets/CIFAR/test/dog/0232.png, It is a blurry image of a dog's face. (F),{'(F)': 39},dog
