,label,image,description
139,street,seg_train/seg_train/street/18428.jpg, The image is a street scene. There are buildings on both sides of the street. The street is narrow and cobbled. There is a car parked on the street. There is a person walking on the street. The person is wearing a coat and a hat. The buildings are old and have shutters on the windows. The street is in a city. (F)
143,street,seg_train/seg_train/street/3249.jpg, The image is in black and white. There is a person sitting on the ground with his/her back against a column. There is a long flight of stairs in front of the person. The stairs are lined with columns on either side. The columns are made of stone. The ground is made of concrete. There is a tree in the background. The main object in the image is '(F) street'.
145,street,seg_train/seg_train/street/13190.jpg, The image shows a busy street in a city. There are many people walking on the street and there are also many cars and buses. The buildings on either side of the street are tall and there are many shops and restaurants on the ground floor. The main object in the image is the street. (F)
156,street,seg_train/seg_train/street/6241.jpg, The image shows a scene inside a building. There is a person walking in the middle of the building. The main object in the image is a building. Answer: (A)
163,street,seg_train/seg_train/street/19152.jpg, The image shows a scene of a street. There are buildings on both sides of the street. People are walking on the street. The street is wet from the rain. There is a clock on the building on the right side of the street. The main object in the image is (F) street.
167,street,seg_train/seg_train/street/8621.jpg, A couple wearing kimono walking on the stone street. (F)
176,street,seg_train/seg_train/street/1179.jpg, The image shows a busy street scene in a city. There are many people walking on the street and there are buildings on both sides of the street. There are also trees and a tram on the street. The main object in the image is the street. (F)
188,street,seg_train/seg_train/street/2389.jpg," The image is a night view of a city street. The street is wet from the rain. There are buildings on both sides of the street. The buildings are lit up by the street lights. There is a traffic light at the intersection. The traffic light is green for the cars going straight. The traffic light is red for the cars turning left. There is a street sign on the corner. The street sign says ""Nedre Slottsgate"". There is a bus stop on the side of the street. There is a bus at the bus stop. The bus is yellow and green. There are people on the street. The people are walking in different directions. There are cars on the street. The cars are driving in different directions. The main object in the image is the street. (F)"
191,street,seg_train/seg_train/street/7591.jpg," The image shows a wide, empty street with a large brick building on the right side of the image. There are traffic lights at the intersection and a few cars parked on the street. The sky is blue and there are some clouds in the distance. The main object in the image is a building, so the answer is (A)."
196,street,seg_train/seg_train/street/782.jpg," The image is in black and white. It is a narrow alley between two tall buildings. The alley is empty, except for a few pieces of trash on the ground. The buildings are made of brick and have a lot of windows. The alley is lit by a single street lamp. The main object in the image is a street. (F)"
201,street,seg_train/seg_train/street/18187.jpg, The image shows a wide street with buildings on both sides. There are cars parked on the side of the street and trees planted in between. The buildings are mostly white and have balconies. The street is paved and has a crosswalk. The main object in the image is (F) street.
203,street,seg_train/seg_train/street/3503.jpg, The image shows a bridge with cars on it. There are buildings and trees on both sides of the bridge. The main object in the image is a bridge. Answer: (F)
204,street,seg_train/seg_train/street/6011.jpg, The image shows a street scene. There are buildings on both sides of the street. The street is lined with trees. There are cars parked on the street. There is a mountain in the distance. The main object in the image is (F) street.
219,street,seg_train/seg_train/street/11800.jpg, The image shows a scene on a city street. There are people walking on the street and buildings on either side of the street. The main object in the image is a shop called 'Gino's' among the category '(F)'.
222,street,seg_train/seg_train/street/3109.jpg, The image is in black and white. The main objects in the image are buildings. The answer is '(A)'.
226,street,seg_train/seg_train/street/13215.jpg, A man and a dog are walking away from the camera on a narrow street with buildings on both sides. There is a single shoe abandoned on the right side of the sidewalk. (F)
227,street,seg_train/seg_train/street/11723.jpg, The image shows a busy street in a city. There are many people walking on the street and there are cars parked on the side of the road. There are also many buildings and shops on the street. The main object in the image is the street. (F)
230,street,seg_train/seg_train/street/15574.jpg, The image shows a scene of a street at night. The main objects in the image are buildings and street. So the answer is (A)(F).
232,street,seg_train/seg_train/street/371.jpg," The image shows a busy street market with people, stalls, and traffic. There are also buildings on either side of the street. The main object in the image is (F) street."
235,street,seg_train/seg_train/street/18439.jpg, The image shows a street scene. There are buildings on both sides of the street. There are also some trees and a tram on the street. The main object in the image is the (F) street.
236,street,seg_train/seg_train/street/11618.jpg," The image shows a narrow street in a traditional Japanese town. The street is lined with old wooden houses and shops. The street is empty, except for a few people walking in the distance. The main object in the image is the street. (F)"
238,street,seg_train/seg_train/street/11052.jpg,
252,street,seg_train/seg_train/street/8061.jpg,
253,street,seg_train/seg_train/street/13739.jpg," The image shows a narrow alleyway with graffiti on the walls and a green dumpster in the foreground. There are buildings on both sides of the alleyway and the sky is not visible. The main object in the image is a dumpster, which is in category (F)."
256,street,seg_train/seg_train/street/17521.jpg,
263,street,seg_train/seg_train/street/994.jpg, The image shows a scene of a street in a city. There are buildings on both sides of the street. There are cars parked on the street. There are people walking on the street. The main object in the image is a street. So the answer is (F).
265,street,seg_train/seg_train/street/15419.jpg, The image shows a scene of a street with (F) buildings on both sides. There are people walking on the street. The sky is blue with some clouds. The main object in the image is the street.
267,street,seg_train/seg_train/street/13154.jpg, The image shows a night view of a city. There are many (A) buildings and (F) streets in the image. The main objects in the image are the (A) buildings.
269,street,seg_train/seg_train/street/1950.jpg, The image shows a narrow street with trees on both sides. The buildings are tall and have balconies. The street is made of cobblestones. There is a motorcycle parked on the side of the street. The main object in the image is the (F) street.
270,street,seg_train/seg_train/street/5479.jpg," The image shows a busy street scene in a city. There are people walking, a cyclist riding a bicycle, cars parked on the side of the road, and buildings in the background. The main object in the image is a cyclist riding a bicycle. (F)"
275,street,seg_train/seg_train/street/7897.jpg, The image shows a street with a patterned sidewalk and a silver parked car on the left side of the road. There are buildings on both sides of the road. The main object in the image is the (F) street.
277,street,seg_train/seg_train/street/8086.jpg, The image shows a bridge in a city. There are tall buildings on both sides of the bridge. The bridge is made of metal and has a red railing. There are people walking on the bridge. The main object in the image is (A) buildings.
278,street,seg_train/seg_train/street/9118.jpg, The image shows a man walking on the (F) street. There are some (A) buildings and people on the street.
279,street,seg_train/seg_train/street/15138.jpg, The image shows a scene of a narrow street with stone buildings on both sides. The street is made of cobblestones and has a red line painted down the center. There is a blue sky with some clouds overhead. The main object in the image is a (F) street.
280,street,seg_train/seg_train/street/7456.jpg,
281,street,seg_train/seg_train/street/14266.jpg," The image is a long exposure photograph of a street at night. The main object in the image is a street with cars. The street is lit by streetlights. There are buildings on both sides of the street. The buildings are mostly tall and have a lot of windows. The street is also wide and has a lot of traffic. There are cars, buses, and trucks on the street. The cars are all moving in the same direction. The image is in focus and the colors are realistic. The image is a good example of how long exposure photography can be used to create interesting and artistic images. (F)"
282,street,seg_train/seg_train/street/1167.jpg," The image shows a wide street with a statue of a horse and carriage in the foreground. There are buildings on both sides of the street, and trees on either side of the road. The buildings are mostly three or four stories tall, and they are made of a variety of materials, including brick, stone, and wood. The street is made of cobblestones, and it is lined with trees. There are people walking on the street, and there are a few cars parked along the side of the road. The main object in the image is the statue of the horse and carriage. (F)"
284,street,seg_train/seg_train/street/7618.jpg," The image is a black and white street scene. There are tall buildings on both sides of the street. A man is sitting on the sidewalk, with a cup in front of him. There are people walking on the street. The main object in the image is (F) street."
285,street,seg_train/seg_train/street/8774.jpg,
286,street,seg_train/seg_train/street/15279.jpg," The image shows a narrow street with buildings on both sides. The buildings are mostly three or four stories tall, with balconies and laundry lines. The street is made of cobblestones and there are a few trees and plants growing on the sides of the buildings. The main object in the image is (F) street."
287,street,seg_train/seg_train/street/889.jpg,
288,street,seg_train/seg_train/street/17274.jpg, The image shows a scene of a street with buildings on both sides. The buildings are mostly made of brick and have a variety of architectural styles. The street is made of asphalt and is lined with trees. There are a few cars parked on the street. The main object in the image is the buildings. (A)
289,street,seg_train/seg_train/street/17725.jpg," The image shows a street scene. There are a row of old, brick buildings on both sides of the street. The street is made of cobblestones and there is a tree in front of one of the buildings. The main object in the image is the buildings.
(A)"
290,street,seg_train/seg_train/street/6102.jpg,
291,street,seg_train/seg_train/street/19650.jpg, The image is a black and white photo. It is a street scene. There is a man walking down the street. There are buildings on either side of the street. The buildings are made of brick and have a lot of windows. There are trees on either side of the street. The trees are bare. There is a street light in the middle of the street. The street is made of cobblestones. (F)
292,street,seg_train/seg_train/street/1425.jpg,
293,street,seg_train/seg_train/street/589.jpg,
294,street,seg_train/seg_train/street/2939.jpg,
295,street,seg_train/seg_train/street/5974.jpg,
296,street,seg_train/seg_train/street/14871.jpg,
297,street,seg_train/seg_train/street/2169.jpg,
298,street,seg_train/seg_train/street/9704.jpg,
299,street,seg_train/seg_train/street/16218.jpg,
300,street,seg_train/seg_train/street/14023.jpg,
301,street,seg_train/seg_train/street/14392.jpg,
302,street,seg_train/seg_train/street/1701.jpg,
303,street,seg_train/seg_train/street/12438.jpg,
304,street,seg_train/seg_train/street/5090.jpg,
305,street,seg_train/seg_train/street/10504.jpg,
306,street,seg_train/seg_train/street/1905.jpg,
307,street,seg_train/seg_train/street/1942.jpg,
308,street,seg_train/seg_train/street/8063.jpg, The image shows a busy street scene in a city at night. There are many people crossing the road. There are also many shops and restaurants on both sides of the road. The main object in the image is a street. (F)
309,street,seg_train/seg_train/street/11973.jpg,
310,street,seg_train/seg_train/street/18147.jpg,
311,street,seg_train/seg_train/street/14839.jpg,
312,street,seg_train/seg_train/street/16726.jpg,
313,street,seg_train/seg_train/street/2288.jpg,
314,street,seg_train/seg_train/street/19808.jpg,
315,street,seg_train/seg_train/street/10633.jpg,
316,street,seg_train/seg_train/street/19999.jpg,
317,street,seg_train/seg_train/street/6364.jpg,
318,street,seg_train/seg_train/street/13442.jpg,
319,street,seg_train/seg_train/street/10039.jpg,
320,street,seg_train/seg_train/street/16708.jpg,
321,street,seg_train/seg_train/street/9934.jpg,
322,street,seg_train/seg_train/street/6754.jpg,
323,street,seg_train/seg_train/street/5258.jpg,
324,street,seg_train/seg_train/street/18984.jpg,
325,street,seg_train/seg_train/street/2666.jpg,
326,street,seg_train/seg_train/street/2322.jpg,
327,street,seg_train/seg_train/street/11122.jpg,
328,street,seg_train/seg_train/street/19431.jpg,
329,street,seg_train/seg_train/street/1633.jpg,
330,street,seg_train/seg_train/street/8706.jpg,
331,street,seg_train/seg_train/street/16905.jpg,
332,street,seg_train/seg_train/street/223.jpg,
333,street,seg_train/seg_train/street/8947.jpg,
334,street,seg_train/seg_train/street/16200.jpg,
335,street,seg_train/seg_train/street/3205.jpg,
336,street,seg_train/seg_train/street/6299.jpg,
337,street,seg_train/seg_train/street/10780.jpg,
338,street,seg_train/seg_train/street/7016.jpg,
339,street,seg_train/seg_train/street/5080.jpg,
340,street,seg_train/seg_train/street/16769.jpg,
341,street,seg_train/seg_train/street/14546.jpg,
342,street,seg_train/seg_train/street/3282.jpg,
343,street,seg_train/seg_train/street/4999.jpg,
344,street,seg_train/seg_train/street/10084.jpg,
345,street,seg_train/seg_train/street/5508.jpg,
346,street,seg_train/seg_train/street/13954.jpg,
347,street,seg_train/seg_train/street/3016.jpg,
348,street,seg_train/seg_train/street/9160.jpg,
349,street,seg_train/seg_train/street/1615.jpg,
350,street,seg_train/seg_train/street/776.jpg,
351,street,seg_train/seg_train/street/9468.jpg,
352,street,seg_train/seg_train/street/10547.jpg,
353,street,seg_train/seg_train/street/9124.jpg,
354,street,seg_train/seg_train/street/12601.jpg,
355,street,seg_train/seg_train/street/19.jpg,
356,street,seg_train/seg_train/street/824.jpg,
357,street,seg_train/seg_train/street/10260.jpg,
358,street,seg_train/seg_train/street/3704.jpg,
359,street,seg_train/seg_train/street/406.jpg,
361,street,seg_train/seg_train/street/15553.jpg,
362,street,seg_train/seg_train/street/3684.jpg,
363,street,seg_train/seg_train/street/12119.jpg,
366,street,seg_train/seg_train/street/17394.jpg,
367,street,seg_train/seg_train/street/14268.jpg,
368,street,seg_train/seg_train/street/11088.jpg,
369,street,seg_train/seg_train/street/10022.jpg,
370,street,seg_train/seg_train/street/4230.jpg,
371,street,seg_train/seg_train/street/3462.jpg,
373,street,seg_train/seg_train/street/16832.jpg,
374,street,seg_train/seg_train/street/7170.jpg,
375,street,seg_train/seg_train/street/7008.jpg,
376,street,seg_train/seg_train/street/7404.jpg,
377,street,seg_train/seg_train/street/1339.jpg,
379,street,seg_train/seg_train/street/8618.jpg,
380,street,seg_train/seg_train/street/6152.jpg,
381,street,seg_train/seg_train/street/15739.jpg,
383,street,seg_train/seg_train/street/18692.jpg,
385,street,seg_train/seg_train/street/8104.jpg,
386,street,seg_train/seg_train/street/1564.jpg,
387,street,seg_train/seg_train/street/9707.jpg,
388,street,seg_train/seg_train/street/7784.jpg,
389,street,seg_train/seg_train/street/1517.jpg,
390,street,seg_train/seg_train/street/11141.jpg,
392,street,seg_train/seg_train/street/596.jpg,
393,street,seg_train/seg_train/street/16914.jpg,
394,street,seg_train/seg_train/street/16799.jpg,
396,street,seg_train/seg_train/street/2562.jpg,
397,street,seg_train/seg_train/street/9685.jpg,
398,street,seg_train/seg_train/street/19770.jpg,
399,street,seg_train/seg_train/street/1260.jpg,
400,street,seg_train/seg_train/street/31.jpg,
401,street,seg_train/seg_train/street/26.jpg,
402,street,seg_train/seg_train/street/15332.jpg,
408,street,seg_train/seg_train/street/7470.jpg,
413,street,seg_train/seg_train/street/1000.jpg,
415,street,seg_train/seg_train/street/1435.jpg,
418,street,seg_train/seg_train/street/13317.jpg,
419,street,seg_train/seg_train/street/4938.jpg,
431,street,seg_train/seg_train/street/11852.jpg,
437,street,seg_train/seg_train/street/3870.jpg,
444,street,seg_train/seg_train/street/12603.jpg,
454,street,seg_train/seg_train/street/20036.jpg,
468,street,seg_train/seg_train/street/15088.jpg,
473,street,seg_train/seg_train/street/11029.jpg,
474,street,seg_train/seg_train/street/1361.jpg,
478,street,seg_train/seg_train/street/6486.jpg,
479,street,seg_train/seg_train/street/241.jpg,
480,street,seg_train/seg_train/street/14692.jpg,
482,street,seg_train/seg_train/street/18457.jpg,
483,street,seg_train/seg_train/street/6160.jpg,
484,street,seg_train/seg_train/street/16855.jpg,
486,street,seg_train/seg_train/street/8533.jpg,
487,street,seg_train/seg_train/street/6009.jpg,
488,street,seg_train/seg_train/street/16652.jpg,
489,street,seg_train/seg_train/street/7559.jpg,
490,street,seg_train/seg_train/street/16880.jpg,
491,street,seg_train/seg_train/street/18751.jpg,
492,street,seg_train/seg_train/street/19462.jpg,
493,street,seg_train/seg_train/street/13633.jpg,
494,street,seg_train/seg_train/street/18300.jpg,
496,street,seg_train/seg_train/street/17547.jpg,
497,street,seg_train/seg_train/street/9749.jpg,
498,street,seg_train/seg_train/street/14002.jpg,
499,street,seg_train/seg_train/street/8949.jpg,
500,street,seg_train/seg_train/street/1665.jpg,
501,street,seg_train/seg_train/street/17679.jpg,
502,street,seg_train/seg_train/street/14818.jpg,
503,street,seg_train/seg_train/street/9193.jpg,
505,street,seg_train/seg_train/street/8413.jpg,
506,street,seg_train/seg_train/street/7427.jpg,
507,street,seg_train/seg_train/street/12493.jpg,
508,street,seg_train/seg_train/street/7588.jpg,
509,street,seg_train/seg_train/street/16580.jpg,
510,street,seg_train/seg_train/street/2877.jpg,
511,street,seg_train/seg_train/street/17093.jpg,
512,street,seg_train/seg_train/street/8981.jpg,
513,street,seg_train/seg_train/street/151.jpg,
514,street,seg_train/seg_train/street/2858.jpg,
515,street,seg_train/seg_train/street/1477.jpg,
516,street,seg_train/seg_train/street/5063.jpg,
517,street,seg_train/seg_train/street/13368.jpg,
518,street,seg_train/seg_train/street/4172.jpg,
519,street,seg_train/seg_train/street/17164.jpg,
521,street,seg_train/seg_train/street/4890.jpg,
522,street,seg_train/seg_train/street/14399.jpg,
523,street,seg_train/seg_train/street/14071.jpg,
524,street,seg_train/seg_train/street/16118.jpg,
526,street,seg_train/seg_train/street/3965.jpg,
527,street,seg_train/seg_train/street/6838.jpg,
528,street,seg_train/seg_train/street/13594.jpg,
529,street,seg_train/seg_train/street/793.jpg,
530,street,seg_train/seg_train/street/872.jpg,
532,street,seg_train/seg_train/street/11725.jpg,
533,street,seg_train/seg_train/street/14752.jpg,
534,street,seg_train/seg_train/street/11198.jpg,
535,street,seg_train/seg_train/street/18216.jpg,
536,street,seg_train/seg_train/street/2226.jpg,
537,street,seg_train/seg_train/street/12360.jpg,
538,street,seg_train/seg_train/street/3793.jpg,
539,street,seg_train/seg_train/street/15614.jpg,
540,street,seg_train/seg_train/street/17834.jpg,
541,street,seg_train/seg_train/street/5329.jpg,
542,street,seg_train/seg_train/street/5794.jpg,
543,street,seg_train/seg_train/street/9099.jpg,
544,street,seg_train/seg_train/street/18534.jpg,
545,street,seg_train/seg_train/street/12597.jpg,
546,street,seg_train/seg_train/street/15644.jpg,
547,street,seg_train/seg_train/street/18175.jpg,
548,street,seg_train/seg_train/street/16369.jpg,
549,street,seg_train/seg_train/street/750.jpg,
550,street,seg_train/seg_train/street/8031.jpg,
551,street,seg_train/seg_train/street/5717.jpg,
552,street,seg_train/seg_train/street/14479.jpg,
553,street,seg_train/seg_train/street/16156.jpg,
554,street,seg_train/seg_train/street/4998.jpg,
555,street,seg_train/seg_train/street/19700.jpg,
556,street,seg_train/seg_train/street/454.jpg,
557,street,seg_train/seg_train/street/18905.jpg,
558,street,seg_train/seg_train/street/12448.jpg,
559,street,seg_train/seg_train/street/6078.jpg,
560,street,seg_train/seg_train/street/1218.jpg,
561,street,seg_train/seg_train/street/14667.jpg,
562,street,seg_train/seg_train/street/259.jpg,
563,street,seg_train/seg_train/street/14482.jpg,
564,street,seg_train/seg_train/street/159.jpg,
565,street,seg_train/seg_train/street/1499.jpg,
566,street,seg_train/seg_train/street/1269.jpg,
567,street,seg_train/seg_train/street/18120.jpg,
568,street,seg_train/seg_train/street/16209.jpg,
569,street,seg_train/seg_train/street/2776.jpg,
570,street,seg_train/seg_train/street/45.jpg,
571,street,seg_train/seg_train/street/370.jpg,
573,street,seg_train/seg_train/street/2454.jpg,
574,street,seg_train/seg_train/street/19334.jpg,
575,street,seg_train/seg_train/street/13920.jpg,
576,street,seg_train/seg_train/street/17849.jpg,
577,street,seg_train/seg_train/street/9234.jpg,
578,street,seg_train/seg_train/street/4142.jpg,
579,street,seg_train/seg_train/street/17732.jpg,
580,street,seg_train/seg_train/street/19664.jpg,
581,street,seg_train/seg_train/street/1407.jpg,
582,street,seg_train/seg_train/street/6865.jpg,
583,street,seg_train/seg_train/street/16437.jpg,
584,street,seg_train/seg_train/street/8227.jpg,
585,street,seg_train/seg_train/street/12926.jpg,
586,street,seg_train/seg_train/street/17237.jpg,
587,street,seg_train/seg_train/street/2417.jpg,
588,street,seg_train/seg_train/street/7718.jpg,
589,street,seg_train/seg_train/street/17675.jpg,
590,street,seg_train/seg_train/street/11398.jpg,
591,street,seg_train/seg_train/street/898.jpg,
592,street,seg_train/seg_train/street/162.jpg,
593,street,seg_train/seg_train/street/2757.jpg,
594,street,seg_train/seg_train/street/12107.jpg,
595,street,seg_train/seg_train/street/6038.jpg,
596,street,seg_train/seg_train/street/18016.jpg,
597,street,seg_train/seg_train/street/7889.jpg,
598,street,seg_train/seg_train/street/16631.jpg,
599,street,seg_train/seg_train/street/16682.jpg,
600,street,seg_train/seg_train/street/8657.jpg,
601,street,seg_train/seg_train/street/13763.jpg,
602,street,seg_train/seg_train/street/13195.jpg,
603,street,seg_train/seg_train/street/9352.jpg,
604,street,seg_train/seg_train/street/1267.jpg,
605,street,seg_train/seg_train/street/5369.jpg,
606,street,seg_train/seg_train/street/8026.jpg,
607,street,seg_train/seg_train/street/3489.jpg,
608,street,seg_train/seg_train/street/15756.jpg,
609,street,seg_train/seg_train/street/10724.jpg,
610,street,seg_train/seg_train/street/2913.jpg,
611,street,seg_train/seg_train/street/11847.jpg,
612,street,seg_train/seg_train/street/17117.jpg,
613,street,seg_train/seg_train/street/12898.jpg,
614,street,seg_train/seg_train/street/14465.jpg,
615,street,seg_train/seg_train/street/18865.jpg,
616,street,seg_train/seg_train/street/9089.jpg,
617,street,seg_train/seg_train/street/16906.jpg,
618,street,seg_train/seg_train/street/18803.jpg,
619,street,seg_train/seg_train/street/16572.jpg,
620,street,seg_train/seg_train/street/10358.jpg,
621,street,seg_train/seg_train/street/7120.jpg,
622,street,seg_train/seg_train/street/9600.jpg,
623,street,seg_train/seg_train/street/12935.jpg,
624,street,seg_train/seg_train/street/14746.jpg,
625,street,seg_train/seg_train/street/150.jpg,
626,street,seg_train/seg_train/street/8165.jpg,
627,street,seg_train/seg_train/street/10459.jpg,
628,street,seg_train/seg_train/street/15062.jpg,
629,street,seg_train/seg_train/street/9349.jpg,
630,street,seg_train/seg_train/street/8021.jpg,
631,street,seg_train/seg_train/street/2916.jpg,
632,street,seg_train/seg_train/street/14555.jpg,
633,street,seg_train/seg_train/street/1308.jpg,
634,street,seg_train/seg_train/street/17781.jpg,
635,street,seg_train/seg_train/street/19450.jpg,
636,street,seg_train/seg_train/street/17848.jpg,
637,street,seg_train/seg_train/street/16134.jpg,
638,street,seg_train/seg_train/street/19308.jpg,
639,street,seg_train/seg_train/street/11889.jpg,
640,street,seg_train/seg_train/street/11406.jpg,
641,street,seg_train/seg_train/street/56.jpg,
642,street,seg_train/seg_train/street/1735.jpg,
643,street,seg_train/seg_train/street/2008.jpg,
644,street,seg_train/seg_train/street/15547.jpg,
645,street,seg_train/seg_train/street/1121.jpg,
646,street,seg_train/seg_train/street/18185.jpg,
647,street,seg_train/seg_train/street/7006.jpg,
648,street,seg_train/seg_train/street/3938.jpg,
649,street,seg_train/seg_train/street/13206.jpg,
650,street,seg_train/seg_train/street/3643.jpg,
651,street,seg_train/seg_train/street/18683.jpg,
652,street,seg_train/seg_train/street/13156.jpg,
653,street,seg_train/seg_train/street/1606.jpg,
654,street,seg_train/seg_train/street/5428.jpg,
655,street,seg_train/seg_train/street/12604.jpg,
656,street,seg_train/seg_train/street/13020.jpg,
657,street,seg_train/seg_train/street/6136.jpg,
658,street,seg_train/seg_train/street/2754.jpg,
659,street,seg_train/seg_train/street/13473.jpg,
660,street,seg_train/seg_train/street/6515.jpg,
661,street,seg_train/seg_train/street/17812.jpg,
662,street,seg_train/seg_train/street/15150.jpg,
663,street,seg_train/seg_train/street/10431.jpg,
664,street,seg_train/seg_train/street/11722.jpg,
665,street,seg_train/seg_train/street/3303.jpg,
666,street,seg_train/seg_train/street/9662.jpg, The image shows a scene of a street in a city. There are buildings on both sides of the street. The buildings are made of brick and have a lot of windows. There are also some trees and a few cars on the street. The street is made of asphalt and is lined with sidewalks. There are people walking on the street. The main object in the image is the buildings. (A)
667,street,seg_train/seg_train/street/14420.jpg,
668,street,seg_train/seg_train/street/14909.jpg,
669,street,seg_train/seg_train/street/9649.jpg,
670,street,seg_train/seg_train/street/13544.jpg,
671,street,seg_train/seg_train/street/7236.jpg,
672,street,seg_train/seg_train/street/17492.jpg,
673,street,seg_train/seg_train/street/14278.jpg, The image shows a wide street with buildings on both sides. The buildings are mostly old and have a lot of character. The street is lined with trees and there are a few people walking around. The main object in the image is the street. (F)
674,street,seg_train/seg_train/street/14008.jpg,
675,street,seg_train/seg_train/street/5028.jpg,
676,street,seg_train/seg_train/street/14287.jpg,
677,street,seg_train/seg_train/street/18005.jpg, The image is in black and white. It looks like a street scene. There are some people walking on the street. There are some buildings on both sides of the street. The main object in the image is a woman wearing a striped dress. She is walking in the middle of the street. There are two other people walking behind her. There are some bicycles parked on the side of the street. The buildings are old and have a lot of character. The street is narrow and cobbled. The image is full of life and activity. (F)
678,street,seg_train/seg_train/street/3332.jpg,
679,street,seg_train/seg_train/street/2785.jpg,
680,street,seg_train/seg_train/street/1725.jpg,
681,street,seg_train/seg_train/street/5893.jpg,
682,street,seg_train/seg_train/street/9287.jpg,
683,street,seg_train/seg_train/street/10202.jpg, The image shows a narrow street with tall buildings on both sides. The buildings are made of stone and have small windows. The street is made of cobblestones and there is a small archway at the end of the street. The main object in the image is a (F) street.
684,street,seg_train/seg_train/street/19974.jpg," The image shows a street scene in a city. There are buildings on both sides of the street. The buildings are tall and have a lot of windows. There are also a lot of people walking on the street. There are cars and buses on the street too. The main object in the image is Big Ben. Big Ben is a clock tower in London, England. It is one of the most famous landmarks in the world. (F)"
685,street,seg_train/seg_train/street/17852.jpg, The image shows a man walking on a street. There are buildings on both sides of the street. The man is wearing a white shirt and blue jeans. He is carrying a bag in his right hand. The buildings are made of stone and have red tile roofs. The street is made of cobblestones. There is a yellow line painted on the street. (F)
686,street,seg_train/seg_train/street/15953.jpg,
687,street,seg_train/seg_train/street/15478.jpg,
688,street,seg_train/seg_train/street/17095.jpg," The image shows a city street with a large building in the background. There are cars parked on the street and people walking on the sidewalk. The main object in the image is a building.
(A)"
689,street,seg_train/seg_train/street/14846.jpg,
690,street,seg_train/seg_train/street/3473.jpg, The image shows a tree-lined street in a city. There are buildings on both sides of the street. The buildings are tall and have a lot of windows. The street is wide and there are cars parked on both sides. There are also people walking on the street. The main object in the image is the street. (F)
691,street,seg_train/seg_train/street/5572.jpg,
692,street,seg_train/seg_train/street/16287.jpg,
693,street,seg_train/seg_train/street/1108.jpg, The image is in black and white. It is a narrow alley between two buildings. The alley is wet from the rain. There is a door at the end of the alley. The main object in the image is a building. (A)
694,street,seg_train/seg_train/street/1068.jpg, A young couple is walking down a city street at night. There are cars parked on the side of the street and a few trees. The street is lit by streetlights. The main object in the image is a couple. (F)
695,street,seg_train/seg_train/street/1586.jpg,
696,street,seg_train/seg_train/street/6631.jpg, The image shows a narrow street with a tall building at the end of the street. The buildings on both sides of the street are old and have a lot of character. The street is made of cobblestones and there are a few trees on either side. The main object in the image is the tall building at the end of the street. It is a church or other religious building. (F)
697,street,seg_train/seg_train/street/17671.jpg, The image shows a busy street scene with people walking on the street and browsing the stalls. The main objects in the image are buildings and people. There are also some trees and signs on the street. The answer is (A) and (F).
698,street,seg_train/seg_train/street/5316.jpg," The image shows a long, straight road with a clear blue sky and white clouds overhead. There is a yellow line down the middle of the road, dividing it into two lanes. On either side of the road, there is a flat expanse of desert with mountains in the distance. The main object in the image is the road. (F)"
