,label,image,description
18,street,seg_train/seg_train/street/12089.jpg, The image shows a narrow street with tall buildings on both sides. The street is made of cobblestones and there is a trash can on the side of the street. There is a person walking down the street. The main object in the image is (A) buildings.
19,street,seg_train/seg_train/street/14180.jpg," The image is a long exposure photograph of a street at night. The main object in the image is a street with (F) street lights and (A) buildings on both sides. The street is lit up by the lights of the cars, which are blurred and streaked due to the long exposure time. The buildings are dark and shadowy, but their outlines are still visible. The image is full of movement and energy, and it captures the feeling of being in a busy city at night."
20,street,seg_train/seg_train/street/10354.jpg, The image is a night view of a narrow street with brick buildings on both sides. The street is lit by a few streetlights. The main object in the image is the street. (F)
21,street,seg_train/seg_train/street/19179.jpg, The image shows a narrow street with stone buildings on both sides. The street is made of cobblestones with a geometric pattern. There are a few plants in pots on the street. The main objects in the image are buildings. (A)
22,street,seg_train/seg_train/street/11604.jpg, The image shows a scene of a narrow street in a city. There are several cars parked on both sides of the street. There are also some motorcycles parked on one side of the street. The buildings on both sides of the street are tall and have many windows. The street is made of asphalt and is in good condition. The main object in the image is (F) street.
23,street,seg_train/seg_train/street/18606.jpg, The image is in black and white. It is a street scene. There are tall trees on both sides of the street. The street is wet from the rain. There is a row of buildings on the right side of the street. The buildings are old and have a lot of character. The street is empty except for a few parked cars. The main object in the image is the street. (F)
24,street,seg_train/seg_train/street/15327.jpg," The image shows a scene on a street. There are some people walking on the street. There are buildings on both sides of the street. The buildings are mostly made of brick and have a lot of windows. The street is made of cobblestones. There is a lot of traffic on the street. There are cars, buses, and trucks. The image is taken from the perspective of a person on the street. The main object in the image is the street. (F)"
25,street,seg_train/seg_train/street/10900.jpg," The image shows a narrow street with buildings on both sides. The buildings are mostly two or three stories tall, with brick facades and gabled roofs. The street is made of cobblestones and there is a bench on the right side of the street. At the end of the street, there is a large church with a tall steeple. (A)"
26,street,seg_train/seg_train/street/19236.jpg, The image is a street scene. There are buildings on both sides of the street. People are walking on the street. There is a car parked on the street. The main object in the image is (F) street.
27,street,seg_train/seg_train/street/7367.jpg," The image shows a street scene. There is a bus on the road. There are tall buildings on both sides of the road. The main object in the image is a bus, which belongs to category (F)."
28,street,seg_train/seg_train/street/3229.jpg, The image shows a narrow street with stone buildings on both sides. The street is made of cobblestones. There are a few windows on the buildings. The sky is blue and there are some clouds. The main object in the image is (F) street.
29,street,seg_train/seg_train/street/8844.jpg," The image shows a street scene in a European city. The main object in the image is a (F) street. There are also some buildings and trees on the street. The buildings are made of stone and brick, and they have a lot of detail. The trees are tall and green, and they provide shade from the sun. The street is made of cobblestones, and it is lined with planters with flowers. There are a few people walking on the street, and they are all wearing casual clothes. The image is taken from a slightly elevated position, and it provides a good view of the street scene."
30,street,seg_train/seg_train/street/17591.jpg, The image shows a narrow street with stone buildings on both sides. The street is lit by a single street lamp. The main object in the image is a (F) street.
31,street,seg_train/seg_train/street/8089.jpg, The image is a night view of a street. The street is lit by streetlights. There are no cars on the street. There is a fence on the right side of the street. There are some trees on the left side of the street. The main object in the image is a street. Answer: (F)
32,street,seg_train/seg_train/street/11178.jpg, The image shows a scene of a busy six-lane highway with cars backed up in traffic. There are street lights along the side of the road. The main object in the image is (F) street.
33,street,seg_train/seg_train/street/396.jpg, The image shows a scene of a street with (A) buildings on both sides of the street. The main objects in the image are the (A) buildings.
34,street,seg_train/seg_train/street/17555.jpg, The image shows a snowy street with apartment buildings on both sides. The buildings are made of brick and have several stories. The street is covered in snow and there are cars parked on the side of the street. There are also some trees and bushes along the street. The main object in the image is (A) buildings.
35,street,seg_train/seg_train/street/16935.jpg, The image shows a scene of a street in a town. The main objects in the image are buildings. There are many buildings on both sides of the street. The buildings are mostly made of stone and have a lot of windows. There are also a few trees and cars on the street. The street is made of cobblestones. There are some people walking on the street. The scene is very typical of a small town in Italy. (F)
36,street,seg_train/seg_train/street/8543.jpg," The image shows a busy street scene in a European city, with people walking, some pushing bicycles, and motorbikes parked on the side. The street is lined with buildings, and there are a few trees. The main object in the image is the street. (F)"
37,street,seg_train/seg_train/street/10392.jpg," The image shows a person walking on a narrow street with old, run-down buildings on both sides. The street is lit by a single street lamp. The main object in the image is a (F) street."
38,street,seg_train/seg_train/street/18517.jpg, The image shows a narrow street with buildings on both sides. The buildings are made of stone and have small windows and doors. The street is made of cobblestones and is very narrow. There is a clothesline running across the street between the buildings. The main object in the image is (F) street.
39,street,seg_train/seg_train/street/8931.jpg, The image shows a scene on a street with two-story buildings on both sides of the street made of brick. There is a green awning in front of the second-floor windows. A tree can be seen on the right side of the image. The main object in the image is a building. Answer: (A)
40,street,seg_train/seg_train/street/8526.jpg, The image shows a street with cars parked on either side and trees on both sides of the street. There are houses on both sides of the street. The street is going uphill. (F)
41,street,seg_train/seg_train/street/3007.jpg," The image shows a busy street scene with cars, trucks, and buses on a wide street with buildings on both sides. There are traffic lights at the intersection and colorful banners hanging over the street. (F)"
42,street,seg_train/seg_train/street/19494.jpg, The image shows a night view of a street in a city. There are buildings lined up on both sides of the street. The street is lit by streetlights. There are cars parked on the side of the street. The main object in the image is (F) street.
43,street,seg_train/seg_train/street/18705.jpg, The image is a black and white photo of a narrow street with old buildings on both sides. The street is empty except for a car and a person walking. The main object in the image is the street. Answer: (F)
44,street,seg_train/seg_train/street/13514.jpg, The image shows a street scene in a city. There are several buildings on both sides of the street. The buildings are mostly made of stone and have many windows. There are also some trees and cars on the street. The main object in the image is the buildings. (A)
45,street,seg_train/seg_train/street/19147.jpg," The image shows a scene of a narrow street in a town. The street is lined with buildings, most of which are two or three stories tall, with red-painted walls and small windows. The street is made of cobblestones and there is a blue door on the right side. The sky is orange and the sun is setting. The main object in the image is (F) street."
46,street,seg_train/seg_train/street/5228.jpg," The image shows a narrow street with people walking on it. There are buildings on both sides of the street. The buildings are mostly two or three stories tall, with balconies and colorful flowers. The street is made of cobblestones. The main object in the image is the street. (F)"
47,street,seg_train/seg_train/street/18511.jpg," The image shows a street with colorful, old buildings on both sides and a cobblestone street. The main object in the image is (F) street."
48,street,seg_train/seg_train/street/13531.jpg, The image shows a street scene. There is a row of old brick buildings on the left side of the street and a row of new brick buildings on the right side of the street. There is a green car parked on the street. The street is narrow and cobbled. There is a blue sky with some clouds. The main object in the image is (F) street.
49,street,seg_train/seg_train/street/19331.jpg, The image shows a street in a town. There are buildings on both sides of the street. The buildings are mostly made of wood and have traditional Japanese architecture. There are also some people walking on the street. The main object in the image is (F) street.
50,street,seg_train/seg_train/street/15533.jpg, The image shows a narrow street with old residential buildings on both sides. There are cars parked on the street and a cyclist is riding down the street. The buildings are mostly made of red brick and have several stories. The street is made of cobblestones. There are some trees and plants in the street. The main object in the image is (F) street.
51,street,seg_train/seg_train/street/8970.jpg," The image shows a busy street scene in Chinatown, New York City. The main objects in the image are buildings and a street. There are also people, cars, and signs on the street. The buildings are tall and narrow, and they are mostly made of brick. The street is crowded with people, cars, and buses. There are also a lot of signs on the street, most of them advertising businesses. The image is taken from the perspective of a person on the street. (F)"
52,street,seg_train/seg_train/street/13862.jpg, The image shows a rural road. The main object in the image is a street. (F)
53,street,seg_train/seg_train/street/3453.jpg," The image shows a scene of a street in a town. The street is lined with colorful buildings, most of which are two or three stories tall, with commercial venues on the first floor and residential quarters above. The buildings are made of a variety of materials, including brick, wood, and stone. The street is made of cobblestones. There are a few trees on the street, and the sky is blue with some puffy white clouds. The main object in the image is (F) street."
54,street,seg_train/seg_train/street/11713.jpg, The image shows a narrow street with stone buildings on both sides and a stone wall on one side. There is a person walking down the street. The main object in the image is (F) street.
55,street,seg_train/seg_train/street/3230.jpg," The image shows a scene of a narrow street with buildings on both sides. The buildings are mostly two or three stories high, with shops on the first floor and apartments above. The street is made of cobblestones and there is a person walking down the street. There are also some bicycles parked along the street. The main object in the image is (F) street."
56,street,seg_train/seg_train/street/14567.jpg, The image shows a street scene. There are some people walking on the street. There are also some stalls on the street. There are buildings on both sides of the street. The main object in the image is (F) street.
57,street,seg_train/seg_train/street/12884.jpg, The image is a night view of a street. The street is wet from the rain and the streetlights are reflecting in the puddles. There are a few cars parked on the side of the street and a bus stop. The buildings are tall and there are a few trees on either side of the street. The main object in the image is the street. (F)
58,street,seg_train/seg_train/street/12822.jpg, This is a picture of a street. The main objects in the image are buildings. (F)
59,street,seg_train/seg_train/street/3960.jpg," The image is a street scene. The main objects in the image are buildings. There are also people, cars, and a postcard rack in the image. (F)"
60,street,seg_train/seg_train/street/17320.jpg, The image shows a city street with cars parked on either side of the street. There are buildings on both sides of the street. The street is covered in snow and ice. The main object in the image is (F) street.
61,street,seg_train/seg_train/street/16192.jpg," The image shows a narrow street with two rows of buildings. The buildings are mostly two or three stories tall, with white walls and blue or green shutters. The street is made of cobblestones and there are a few trees and plants growing on either side. There are a few people walking on the street. The main object in the image is (F) street."
62,street,seg_train/seg_train/street/11267.jpg,
63,street,seg_train/seg_train/street/3879.jpg,
64,street,seg_train/seg_train/street/3123.jpg,
65,street,seg_train/seg_train/street/14440.jpg,
66,street,seg_train/seg_train/street/10867.jpg,
67,street,seg_train/seg_train/street/7436.jpg,
68,street,seg_train/seg_train/street/11429.jpg,
69,street,seg_train/seg_train/street/7604.jpg,
70,street,seg_train/seg_train/street/11168.jpg,
71,street,seg_train/seg_train/street/5305.jpg,
72,street,seg_train/seg_train/street/15599.jpg,
73,street,seg_train/seg_train/street/2890.jpg,
74,street,seg_train/seg_train/street/1472.jpg,
75,street,seg_train/seg_train/street/11202.jpg,
76,street,seg_train/seg_train/street/17305.jpg,
77,street,seg_train/seg_train/street/5705.jpg,
78,street,seg_train/seg_train/street/13874.jpg,
79,street,seg_train/seg_train/street/11417.jpg,
80,street,seg_train/seg_train/street/3505.jpg, The image shows a narrow street with cars parked on either side. There are tall buildings on both sides of the street. The buildings are made of brick and have a lot of windows. The street is made of asphalt and is lined with trees. The sky is blue and there are some clouds in the sky. The main object in the image is (F) street.
81,street,seg_train/seg_train/street/19182.jpg,
82,street,seg_train/seg_train/street/843.jpg,
83,street,seg_train/seg_train/street/642.jpg,
84,street,seg_train/seg_train/street/8353.jpg,
85,street,seg_train/seg_train/street/8371.jpg,
86,street,seg_train/seg_train/street/16440.jpg,
87,street,seg_train/seg_train/street/16055.jpg,
88,street,seg_train/seg_train/street/6404.jpg,
89,street,seg_train/seg_train/street/2627.jpg,
90,street,seg_train/seg_train/street/14125.jpg,
91,street,seg_train/seg_train/street/5453.jpg,
92,street,seg_train/seg_train/street/11413.jpg,
93,street,seg_train/seg_train/street/484.jpg,
94,street,seg_train/seg_train/street/1601.jpg,
95,street,seg_train/seg_train/street/18003.jpg,
96,street,seg_train/seg_train/street/14418.jpg,
97,street,seg_train/seg_train/street/3815.jpg,
98,street,seg_train/seg_train/street/16387.jpg,
99,street,seg_train/seg_train/street/14209.jpg,
100,street,seg_train/seg_train/street/3773.jpg,
101,street,seg_train/seg_train/street/19867.jpg,
102,street,seg_train/seg_train/street/2405.jpg,
103,street,seg_train/seg_train/street/6881.jpg,
104,street,seg_train/seg_train/street/14368.jpg,
105,street,seg_train/seg_train/street/17137.jpg,
106,street,seg_train/seg_train/street/1804.jpg,
107,street,seg_train/seg_train/street/6174.jpg,
108,street,seg_train/seg_train/street/12415.jpg,
109,street,seg_train/seg_train/street/13211.jpg,
110,street,seg_train/seg_train/street/5461.jpg,
111,street,seg_train/seg_train/street/20013.jpg,
112,street,seg_train/seg_train/street/14598.jpg,
113,street,seg_train/seg_train/street/11814.jpg,
114,street,seg_train/seg_train/street/19212.jpg,
115,street,seg_train/seg_train/street/12398.jpg,
116,street,seg_train/seg_train/street/14627.jpg,
117,street,seg_train/seg_train/street/5167.jpg,
118,street,seg_train/seg_train/street/13925.jpg,
119,street,seg_train/seg_train/street/15852.jpg,
120,street,seg_train/seg_train/street/946.jpg,
121,street,seg_train/seg_train/street/5559.jpg,
122,street,seg_train/seg_train/street/11272.jpg,
123,street,seg_train/seg_train/street/6659.jpg,
124,street,seg_train/seg_train/street/13446.jpg,
125,street,seg_train/seg_train/street/2876.jpg,
126,street,seg_train/seg_train/street/9903.jpg,
127,street,seg_train/seg_train/street/16189.jpg,
128,street,seg_train/seg_train/street/538.jpg,
129,street,seg_train/seg_train/street/13289.jpg,
130,street,seg_train/seg_train/street/7132.jpg,
131,street,seg_train/seg_train/street/13456.jpg,
132,street,seg_train/seg_train/street/2673.jpg,
133,street,seg_train/seg_train/street/13881.jpg,
134,street,seg_train/seg_train/street/931.jpg,
135,street,seg_train/seg_train/street/9076.jpg,
136,street,seg_train/seg_train/street/14512.jpg,
137,street,seg_train/seg_train/street/2714.jpg,
138,street,seg_train/seg_train/street/12777.jpg,
139,street,seg_train/seg_train/street/18428.jpg,
140,street,seg_train/seg_train/street/16019.jpg,
141,street,seg_train/seg_train/street/19885.jpg,
142,street,seg_train/seg_train/street/19884.jpg,
143,street,seg_train/seg_train/street/3249.jpg,
144,street,seg_train/seg_train/street/8530.jpg,
145,street,seg_train/seg_train/street/13190.jpg,
146,street,seg_train/seg_train/street/9.jpg,
147,street,seg_train/seg_train/street/11289.jpg,
148,street,seg_train/seg_train/street/5131.jpg,
149,street,seg_train/seg_train/street/657.jpg,
150,street,seg_train/seg_train/street/1059.jpg,
151,street,seg_train/seg_train/street/886.jpg,
152,street,seg_train/seg_train/street/10125.jpg,
153,street,seg_train/seg_train/street/11096.jpg,
154,street,seg_train/seg_train/street/14252.jpg,
155,street,seg_train/seg_train/street/8974.jpg,
156,street,seg_train/seg_train/street/6241.jpg,
157,street,seg_train/seg_train/street/15869.jpg,
158,street,seg_train/seg_train/street/15072.jpg,
159,street,seg_train/seg_train/street/1715.jpg,
160,street,seg_train/seg_train/street/15090.jpg,
161,street,seg_train/seg_train/street/17965.jpg,
162,street,seg_train/seg_train/street/10588.jpg,
163,street,seg_train/seg_train/street/19152.jpg,
164,street,seg_train/seg_train/street/6072.jpg,
165,street,seg_train/seg_train/street/11246.jpg,
166,street,seg_train/seg_train/street/1191.jpg,
167,street,seg_train/seg_train/street/8621.jpg,
168,street,seg_train/seg_train/street/2100.jpg,
169,street,seg_train/seg_train/street/13418.jpg,
170,street,seg_train/seg_train/street/8323.jpg,
171,street,seg_train/seg_train/street/8111.jpg,
172,street,seg_train/seg_train/street/11416.jpg,
173,street,seg_train/seg_train/street/8307.jpg,
174,street,seg_train/seg_train/street/9087.jpg,
175,street,seg_train/seg_train/street/3500.jpg,
176,street,seg_train/seg_train/street/1179.jpg,
177,street,seg_train/seg_train/street/14676.jpg,
178,street,seg_train/seg_train/street/9417.jpg,
179,street,seg_train/seg_train/street/9989.jpg,
180,street,seg_train/seg_train/street/5629.jpg,
181,street,seg_train/seg_train/street/18503.jpg,
182,street,seg_train/seg_train/street/11325.jpg,
183,street,seg_train/seg_train/street/11649.jpg,
184,street,seg_train/seg_train/street/11860.jpg,
185,street,seg_train/seg_train/street/7741.jpg,
186,street,seg_train/seg_train/street/16489.jpg,
187,street,seg_train/seg_train/street/260.jpg,
188,street,seg_train/seg_train/street/2389.jpg,
189,street,seg_train/seg_train/street/17865.jpg,
190,street,seg_train/seg_train/street/16250.jpg,
191,street,seg_train/seg_train/street/7591.jpg,
192,street,seg_train/seg_train/street/992.jpg,
193,street,seg_train/seg_train/street/16404.jpg,
194,street,seg_train/seg_train/street/2450.jpg,
195,street,seg_train/seg_train/street/17745.jpg,
196,street,seg_train/seg_train/street/782.jpg,
197,street,seg_train/seg_train/street/18384.jpg,
198,street,seg_train/seg_train/street/7031.jpg,
199,street,seg_train/seg_train/street/10732.jpg,
200,street,seg_train/seg_train/street/243.jpg,
201,street,seg_train/seg_train/street/18187.jpg,
202,street,seg_train/seg_train/street/6405.jpg,
203,street,seg_train/seg_train/street/3503.jpg,
204,street,seg_train/seg_train/street/6011.jpg,
205,street,seg_train/seg_train/street/3842.jpg,
206,street,seg_train/seg_train/street/9744.jpg,
207,street,seg_train/seg_train/street/8690.jpg,
208,street,seg_train/seg_train/street/3392.jpg,
209,street,seg_train/seg_train/street/19130.jpg,
210,street,seg_train/seg_train/street/7207.jpg,
211,street,seg_train/seg_train/street/5437.jpg,
212,street,seg_train/seg_train/street/15833.jpg,
213,street,seg_train/seg_train/street/5757.jpg,
214,street,seg_train/seg_train/street/16695.jpg,
215,street,seg_train/seg_train/street/11552.jpg, The image shows a pedestrian street with trees on both sides. There are people walking on the street and some people are sitting on benches. There are buildings on both sides of the street. The main object in the image is (F) street.
216,street,seg_train/seg_train/street/2472.jpg,
217,street,seg_train/seg_train/street/10661.jpg,
218,street,seg_train/seg_train/street/12203.jpg,
219,street,seg_train/seg_train/street/11800.jpg,
220,street,seg_train/seg_train/street/19761.jpg,
221,street,seg_train/seg_train/street/13557.jpg,
222,street,seg_train/seg_train/street/3109.jpg,
223,street,seg_train/seg_train/street/1186.jpg,
224,street,seg_train/seg_train/street/1852.jpg,
225,street,seg_train/seg_train/street/4891.jpg,
226,street,seg_train/seg_train/street/13215.jpg,
227,street,seg_train/seg_train/street/11723.jpg,
228,street,seg_train/seg_train/street/12210.jpg,
229,street,seg_train/seg_train/street/7717.jpg,
230,street,seg_train/seg_train/street/15574.jpg,
231,street,seg_train/seg_train/street/3939.jpg,
232,street,seg_train/seg_train/street/371.jpg,
233,street,seg_train/seg_train/street/11631.jpg,
234,street,seg_train/seg_train/street/9192.jpg,
235,street,seg_train/seg_train/street/18439.jpg,
236,street,seg_train/seg_train/street/11618.jpg,
237,street,seg_train/seg_train/street/4868.jpg,
238,street,seg_train/seg_train/street/11052.jpg,
239,street,seg_train/seg_train/street/6020.jpg,
240,street,seg_train/seg_train/street/18838.jpg,
241,street,seg_train/seg_train/street/13903.jpg,
242,street,seg_train/seg_train/street/3571.jpg,
243,street,seg_train/seg_train/street/11019.jpg,
244,street,seg_train/seg_train/street/19783.jpg,
245,street,seg_train/seg_train/street/5910.jpg,
246,street,seg_train/seg_train/street/1215.jpg,
247,street,seg_train/seg_train/street/14612.jpg,
248,street,seg_train/seg_train/street/2121.jpg,
249,street,seg_train/seg_train/street/539.jpg,
250,street,seg_train/seg_train/street/15015.jpg,
251,street,seg_train/seg_train/street/17693.jpg,
252,street,seg_train/seg_train/street/8061.jpg,
253,street,seg_train/seg_train/street/13739.jpg,
254,street,seg_train/seg_train/street/7023.jpg,
255,street,seg_train/seg_train/street/8204.jpg,
256,street,seg_train/seg_train/street/17521.jpg,
257,street,seg_train/seg_train/street/15019.jpg,
258,street,seg_train/seg_train/street/12780.jpg,
259,street,seg_train/seg_train/street/14586.jpg,
260,street,seg_train/seg_train/street/12310.jpg,
261,street,seg_train/seg_train/street/17490.jpg,
262,street,seg_train/seg_train/street/723.jpg,
263,street,seg_train/seg_train/street/994.jpg,
264,street,seg_train/seg_train/street/12392.jpg,
265,street,seg_train/seg_train/street/15419.jpg,
266,street,seg_train/seg_train/street/11459.jpg,
267,street,seg_train/seg_train/street/13154.jpg,
268,street,seg_train/seg_train/street/17877.jpg,
269,street,seg_train/seg_train/street/1950.jpg,
270,street,seg_train/seg_train/street/5479.jpg,
271,street,seg_train/seg_train/street/12162.jpg,
272,street,seg_train/seg_train/street/3244.jpg,
273,street,seg_train/seg_train/street/8300.jpg,
274,street,seg_train/seg_train/street/12523.jpg,
275,street,seg_train/seg_train/street/7897.jpg,
276,street,seg_train/seg_train/street/10580.jpg,
277,street,seg_train/seg_train/street/8086.jpg,
278,street,seg_train/seg_train/street/9118.jpg,
279,street,seg_train/seg_train/street/15138.jpg,
280,street,seg_train/seg_train/street/7456.jpg,
281,street,seg_train/seg_train/street/14266.jpg,
282,street,seg_train/seg_train/street/1167.jpg,
283,street,seg_train/seg_train/street/10627.jpg,
284,street,seg_train/seg_train/street/7618.jpg,
285,street,seg_train/seg_train/street/8774.jpg,
286,street,seg_train/seg_train/street/15279.jpg,
287,street,seg_train/seg_train/street/889.jpg,
288,street,seg_train/seg_train/street/17274.jpg,
289,street,seg_train/seg_train/street/17725.jpg,
290,street,seg_train/seg_train/street/6102.jpg,
291,street,seg_train/seg_train/street/19650.jpg,
292,street,seg_train/seg_train/street/1425.jpg,
293,street,seg_train/seg_train/street/589.jpg,
294,street,seg_train/seg_train/street/2939.jpg,
295,street,seg_train/seg_train/street/5974.jpg,
296,street,seg_train/seg_train/street/14871.jpg,
297,street,seg_train/seg_train/street/2169.jpg,
298,street,seg_train/seg_train/street/9704.jpg,
299,street,seg_train/seg_train/street/16218.jpg,
300,street,seg_train/seg_train/street/14023.jpg,
301,street,seg_train/seg_train/street/14392.jpg,
302,street,seg_train/seg_train/street/1701.jpg,
303,street,seg_train/seg_train/street/12438.jpg,
304,street,seg_train/seg_train/street/5090.jpg,
305,street,seg_train/seg_train/street/10504.jpg,
306,street,seg_train/seg_train/street/1905.jpg,
307,street,seg_train/seg_train/street/1942.jpg,
308,street,seg_train/seg_train/street/8063.jpg,
309,street,seg_train/seg_train/street/11973.jpg,
310,street,seg_train/seg_train/street/18147.jpg,
311,street,seg_train/seg_train/street/14839.jpg,
312,street,seg_train/seg_train/street/16726.jpg,
313,street,seg_train/seg_train/street/2288.jpg,
314,street,seg_train/seg_train/street/19808.jpg,
315,street,seg_train/seg_train/street/10633.jpg,
316,street,seg_train/seg_train/street/19999.jpg,
317,street,seg_train/seg_train/street/6364.jpg,
318,street,seg_train/seg_train/street/13442.jpg,
319,street,seg_train/seg_train/street/10039.jpg,
320,street,seg_train/seg_train/street/16708.jpg,
321,street,seg_train/seg_train/street/9934.jpg,
322,street,seg_train/seg_train/street/6754.jpg,
323,street,seg_train/seg_train/street/5258.jpg,
324,street,seg_train/seg_train/street/18984.jpg,
325,street,seg_train/seg_train/street/2666.jpg,
326,street,seg_train/seg_train/street/2322.jpg,
327,street,seg_train/seg_train/street/11122.jpg,
328,street,seg_train/seg_train/street/19431.jpg,
329,street,seg_train/seg_train/street/1633.jpg,
330,street,seg_train/seg_train/street/8706.jpg,
331,street,seg_train/seg_train/street/16905.jpg,
332,street,seg_train/seg_train/street/223.jpg,
333,street,seg_train/seg_train/street/8947.jpg,
334,street,seg_train/seg_train/street/16200.jpg,
335,street,seg_train/seg_train/street/3205.jpg,
336,street,seg_train/seg_train/street/6299.jpg,
337,street,seg_train/seg_train/street/10780.jpg,
338,street,seg_train/seg_train/street/7016.jpg,
339,street,seg_train/seg_train/street/5080.jpg,
340,street,seg_train/seg_train/street/16769.jpg,
341,street,seg_train/seg_train/street/14546.jpg,
342,street,seg_train/seg_train/street/3282.jpg,
343,street,seg_train/seg_train/street/4999.jpg,
344,street,seg_train/seg_train/street/10084.jpg,
345,street,seg_train/seg_train/street/5508.jpg,
346,street,seg_train/seg_train/street/13954.jpg,
347,street,seg_train/seg_train/street/3016.jpg,
348,street,seg_train/seg_train/street/9160.jpg,
349,street,seg_train/seg_train/street/1615.jpg,
350,street,seg_train/seg_train/street/776.jpg,
351,street,seg_train/seg_train/street/9468.jpg,
352,street,seg_train/seg_train/street/10547.jpg,
353,street,seg_train/seg_train/street/9124.jpg,
354,street,seg_train/seg_train/street/12601.jpg,
355,street,seg_train/seg_train/street/19.jpg,
356,street,seg_train/seg_train/street/824.jpg,
357,street,seg_train/seg_train/street/10260.jpg,
358,street,seg_train/seg_train/street/3704.jpg,
359,street,seg_train/seg_train/street/406.jpg,
360,street,seg_train/seg_train/street/18001.jpg, The image shows a scene on a street. There are buildings on both sides of the street. There are cars parked on the street. There are trees on the street. There are people walking on the street. The main object in the image is (F) street.
361,street,seg_train/seg_train/street/15553.jpg,
362,street,seg_train/seg_train/street/3684.jpg,
363,street,seg_train/seg_train/street/12119.jpg,
364,street,seg_train/seg_train/street/11976.jpg,
365,street,seg_train/seg_train/street/13605.jpg, The image shows a scene of a street with colorful buildings. The main object in the image is (F) street.
366,street,seg_train/seg_train/street/17394.jpg,
367,street,seg_train/seg_train/street/14268.jpg,
368,street,seg_train/seg_train/street/11088.jpg,
369,street,seg_train/seg_train/street/10022.jpg,
370,street,seg_train/seg_train/street/4230.jpg,
371,street,seg_train/seg_train/street/3462.jpg,
372,street,seg_train/seg_train/street/8253.jpg,
373,street,seg_train/seg_train/street/16832.jpg,
374,street,seg_train/seg_train/street/7170.jpg,
375,street,seg_train/seg_train/street/7008.jpg,
376,street,seg_train/seg_train/street/7404.jpg,
377,street,seg_train/seg_train/street/1339.jpg,
378,street,seg_train/seg_train/street/1385.jpg, The image shows a narrow street with brick buildings on both sides. The street is made of cobblestones and there is a drain in the middle. The main object in the image is a (F) street.
379,street,seg_train/seg_train/street/8618.jpg,
380,street,seg_train/seg_train/street/6152.jpg,
381,street,seg_train/seg_train/street/15739.jpg,
382,street,seg_train/seg_train/street/13221.jpg,
383,street,seg_train/seg_train/street/18692.jpg,
